Domain,Area,Element,Item,Year,Value
"Suite of Food Security Indicators","Malta","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2020-2022","2.3"
"Suite of Food Security Indicators","Malta","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2021-2023","2.3"
"Suite of Food Security Indicators","Malta","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2022-2024","2.2"
"Suite of Food Security Indicators","Malta","Value","Political stability and absence of violence/terrorism (index)","2021","0.89"
"Suite of Food Security Indicators","Malta","Value","Political stability and absence of violence/terrorism (index)","2022","0.91"
"Suite of Food Security Indicators","Malta","Value","Number of obese adults (18 years and older) (million)","2021","0.1"
"Suite of Food Security Indicators","Malta","Value","Number of obese adults (18 years and older) (million)","2022","0.1"
"Suite of Food Security Indicators","Marshall Islands","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2021","6706"
"Suite of Food Security Indicators","Marshall Islands","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2022","6844"
"Suite of Food Security Indicators","Marshall Islands","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2023","6787"
"Suite of Food Security Indicators","Marshall Islands","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2024","7212"
"Suite of Food Security Indicators","Marshall Islands","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2020-2022",""
"Suite of Food Security Indicators","Marshall Islands","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2021-2023",""
"Suite of Food Security Indicators","Marshall Islands","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2022-2024",""
"Suite of Food Security Indicators","Marshall Islands","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2020-2022",""
"Suite of Food Security Indicators","Marshall Islands","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2021-2023",""
"Suite of Food Security Indicators","Marshall Islands","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2022-2024",""
"Suite of Food Security Indicators","Marshall Islands","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2020-2022",""
"Suite of Food Security Indicators","Marshall Islands","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2021-2023",""
"Suite of Food Security Indicators","Marshall Islands","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2022-2024",""
"Suite of Food Security Indicators","Marshall Islands","Value","Political stability and absence of violence/terrorism (index)","2021","0.93"
"Suite of Food Security Indicators","Marshall Islands","Value","Political stability and absence of violence/terrorism (index)","2022","1.02"
"Suite of Food Security Indicators","Marshall Islands","Value","Number of obese adults (18 years and older) (million)","2021","<0.1"
"Suite of Food Security Indicators","Marshall Islands","Value","Number of obese adults (18 years and older) (million)","2022","<0.1"
"Suite of Food Security Indicators","Mauritania","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2021","5837"
"Suite of Food Security Indicators","Mauritania","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2022","6053"
"Suite of Food Security Indicators","Mauritania","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2023","6259"
"Suite of Food Security Indicators","Mauritania","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2024","6397"
"Suite of Food Security Indicators","Mauritania","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2020-2022","9.5"
"Suite of Food Security Indicators","Mauritania","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2021-2023","11.6"
"Suite of Food Security Indicators","Mauritania","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2022-2024","13.1"
"Suite of Food Security Indicators","Mauritania","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2020-2022","9.4"
"Suite of Food Security Indicators","Mauritania","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2021-2023","11"
"Suite of Food Security Indicators","Mauritania","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2022-2024","12.1"
"Suite of Food Security Indicators","Mauritania","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2020-2022","9.6"
"Suite of Food Security Indicators","Mauritania","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2021-2023","12.3"
"Suite of Food Security Indicators","Mauritania","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2022-2024","14"
"Suite of Food Security Indicators","Mauritania","Value","Political stability and absence of violence/terrorism (index)","2021","-0.56"
"Suite of Food Security Indicators","Mauritania","Value","Political stability and absence of violence/terrorism (index)","2022","-0.52"
"Suite of Food Security Indicators","Mauritania","Value","Number of obese adults (18 years and older) (million)","2021","0.5"
"Suite of Food Security Indicators","Mauritania","Value","Number of obese adults (18 years and older) (million)","2022","0.6"
"Suite of Food Security Indicators","Mauritius","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2021","22738"
"Suite of Food Security Indicators","Mauritius","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2022","24789"
"Suite of Food Security Indicators","Mauritius","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2023","26061"
"Suite of Food Security Indicators","Mauritius","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2024","27317"
"Suite of Food Security Indicators","Mauritius","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2020-2022","10.5"
"Suite of Food Security Indicators","Mauritius","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2021-2023","10.2"
"Suite of Food Security Indicators","Mauritius","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2022-2024","12.2"
"Suite of Food Security Indicators","Mauritius","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2020-2022","9.5"
"Suite of Food Security Indicators","Mauritius","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2021-2023","10.6"
"Suite of Food Security Indicators","Mauritius","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2022-2024","12.4"
"Suite of Food Security Indicators","Mauritius","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2020-2022","11.5"
"Suite of Food Security Indicators","Mauritius","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2021-2023","9.9"
"Suite of Food Security Indicators","Mauritius","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2022-2024","12.1"
"Suite of Food Security Indicators","Mauritius","Value","Political stability and absence of violence/terrorism (index)","2021","0.83"
"Suite of Food Security Indicators","Mauritius","Value","Political stability and absence of violence/terrorism (index)","2022","0.83"
"Suite of Food Security Indicators","Mauritius","Value","Number of obese adults (18 years and older) (million)","2021","0.2"
"Suite of Food Security Indicators","Mauritius","Value","Number of obese adults (18 years and older) (million)","2022","0.2"
"Suite of Food Security Indicators","Mexico","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2021","20783"
"Suite of Food Security Indicators","Mexico","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2022","21392"
"Suite of Food Security Indicators","Mexico","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2023","21905"
"Suite of Food Security Indicators","Mexico","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2024","22033"
"Suite of Food Security Indicators","Mexico","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2020-2022","3.2"
"Suite of Food Security Indicators","Mexico","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2021-2023","3"
"Suite of Food Security Indicators","Mexico","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2022-2024","2.9"
"Suite of Food Security Indicators","Mexico","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2020-2022","2.5"
"Suite of Food Security Indicators","Mexico","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2021-2023","2.4"
"Suite of Food Security Indicators","Mexico","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2022-2024","2.4"
"Suite of Food Security Indicators","Mexico","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2020-2022","3.9"
"Suite of Food Security Indicators","Mexico","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2021-2023","3.6"
"Suite of Food Security Indicators","Mexico","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2022-2024","3.4"
"Suite of Food Security Indicators","Mexico","Value","Political stability and absence of violence/terrorism (index)","2021","-0.69"
"Suite of Food Security Indicators","Mexico","Value","Political stability and absence of violence/terrorism (index)","2022","-0.69"
"Suite of Food Security Indicators","Mexico","Value","Number of obese adults (18 years and older) (million)","2021","31.3"
"Suite of Food Security Indicators","Mexico","Value","Number of obese adults (18 years and older) (million)","2022","32.3"
"Suite of Food Security Indicators","Micronesia (Federated States of)","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2021","3945"
"Suite of Food Security Indicators","Micronesia (Federated States of)","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2022","3813"
"Suite of Food Security Indicators","Micronesia (Federated States of)","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2023","3814"
"Suite of Food Security Indicators","Micronesia (Federated States of)","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2024","3824"
"Suite of Food Security Indicators","Micronesia (Federated States of)","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2020-2022",""
"Suite of Food Security Indicators","Micronesia (Federated States of)","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2021-2023",""
"Suite of Food Security Indicators","Micronesia (Federated States of)","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2022-2024",""
"Suite of Food Security Indicators","Micronesia (Federated States of)","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2020-2022",""
"Suite of Food Security Indicators","Micronesia (Federated States of)","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2021-2023",""
"Suite of Food Security Indicators","Micronesia (Federated States of)","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2022-2024",""
"Suite of Food Security Indicators","Micronesia (Federated States of)","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2020-2022",""
"Suite of Food Security Indicators","Micronesia (Federated States of)","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2021-2023",""
"Suite of Food Security Indicators","Micronesia (Federated States of)","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2022-2024",""
"Suite of Food Security Indicators","Micronesia (Federated States of)","Value","Political stability and absence of violence/terrorism (index)","2021","1.2"
"Suite of Food Security Indicators","Micronesia (Federated States of)","Value","Political stability and absence of violence/terrorism (index)","2022","1.21"
"Suite of Food Security Indicators","Micronesia (Federated States of)","Value","Number of obese adults (18 years and older) (million)","2021","<0.1"
"Suite of Food Security Indicators","Micronesia (Federated States of)","Value","Number of obese adults (18 years and older) (million)","2022","<0.1"
"Suite of Food Security Indicators","Mongolia","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2021","14792"
"Suite of Food Security Indicators","Mongolia","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2022","15310"
"Suite of Food Security Indicators","Mongolia","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2023","16223"
"Suite of Food Security Indicators","Mongolia","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2024","16801"
"Suite of Food Security Indicators","Mongolia","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2020-2022","<0.5"
"Suite of Food Security Indicators","Mongolia","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2021-2023","0.6"
"Suite of Food Security Indicators","Mongolia","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2022-2024","0.7"
"Suite of Food Security Indicators","Mongolia","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2020-2022","0.5"
"Suite of Food Security Indicators","Mongolia","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2021-2023","0.6"
"Suite of Food Security Indicators","Mongolia","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2022-2024","0.7"
"Suite of Food Security Indicators","Mongolia","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2020-2022","<0.5"
"Suite of Food Security Indicators","Mongolia","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2021-2023","0.7"
"Suite of Food Security Indicators","Mongolia","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2022-2024","0.7"
"Suite of Food Security Indicators","Mongolia","Value","Political stability and absence of violence/terrorism (index)","2021","0.71"
"Suite of Food Security Indicators","Mongolia","Value","Political stability and absence of violence/terrorism (index)","2022","0.53"
"Suite of Food Security Indicators","Mongolia","Value","Number of obese adults (18 years and older) (million)","2021","0.5"
"Suite of Food Security Indicators","Mongolia","Value","Number of obese adults (18 years and older) (million)","2022","0.5"
"Suite of Food Security Indicators","Montenegro","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2021","23842"
"Suite of Food Security Indicators","Montenegro","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2022","25429"
"Suite of Food Security Indicators","Montenegro","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2023","27043"
"Suite of Food Security Indicators","Montenegro","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2024","27852"
"Suite of Food Security Indicators","Montenegro","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2020-2022","3.3"
"Suite of Food Security Indicators","Montenegro","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2021-2023","2.5"
"Suite of Food Security Indicators","Montenegro","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2022-2024","1.6"
"Suite of Food Security Indicators","Montenegro","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2020-2022","3.8"
"Suite of Food Security Indicators","Montenegro","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2021-2023","2.6"
"Suite of Food Security Indicators","Montenegro","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2022-2024","1.3"
"Suite of Food Security Indicators","Montenegro","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2020-2022","2.8"
"Suite of Food Security Indicators","Montenegro","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2021-2023","2.4"
"Suite of Food Security Indicators","Montenegro","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2022-2024","1.9"
"Suite of Food Security Indicators","Montenegro","Value","Political stability and absence of violence/terrorism (index)","2021","-0.05"
"Suite of Food Security Indicators","Montenegro","Value","Political stability and absence of violence/terrorism (index)","2022","-0.14"
"Suite of Food Security Indicators","Montenegro","Value","Number of obese adults (18 years and older) (million)","2021","0.1"
"Suite of Food Security Indicators","Montenegro","Value","Number of obese adults (18 years and older) (million)","2022","0.1"
"Suite of Food Security Indicators","Morocco","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2021","8623"
"Suite of Food Security Indicators","Morocco","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2022","8666"
"Suite of Food Security Indicators","Morocco","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2023","8869"
"Suite of Food Security Indicators","Morocco","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2024","9066"
"Suite of Food Security Indicators","Morocco","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2020-2022",""
"Suite of Food Security Indicators","Morocco","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2021-2023",""
"Suite of Food Security Indicators","Morocco","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2022-2024",""
"Suite of Food Security Indicators","Morocco","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2020-2022",""
"Suite of Food Security Indicators","Morocco","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2021-2023",""
"Suite of Food Security Indicators","Morocco","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2022-2024",""
"Suite of Food Security Indicators","Morocco","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2020-2022",""
"Suite of Food Security Indicators","Morocco","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2021-2023",""
"Suite of Food Security Indicators","Morocco","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2022-2024",""
"Suite of Food Security Indicators","Morocco","Value","Political stability and absence of violence/terrorism (index)","2021","-0.4"
"Suite of Food Security Indicators","Morocco","Value","Political stability and absence of violence/terrorism (index)","2022","-0.36"
"Suite of Food Security Indicators","Morocco","Value","Number of obese adults (18 years and older) (million)","2021","5.4"
"Suite of Food Security Indicators","Morocco","Value","Number of obese adults (18 years and older) (million)","2022","5.6"
"Suite of Food Security Indicators","Mozambique","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2021","1457"
"Suite of Food Security Indicators","Mozambique","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2022","1477"
"Suite of Food Security Indicators","Mozambique","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2023","1512"
"Suite of Food Security Indicators","Mozambique","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2024","1495"
"Suite of Food Security Indicators","Mozambique","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2020-2022",""
"Suite of Food Security Indicators","Mozambique","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2021-2023",""
"Suite of Food Security Indicators","Mozambique","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2022-2024",""
"Suite of Food Security Indicators","Mozambique","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2020-2022",""
"Suite of Food Security Indicators","Mozambique","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2021-2023",""
"Suite of Food Security Indicators","Mozambique","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2022-2024",""
"Suite of Food Security Indicators","Mozambique","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2020-2022",""
"Suite of Food Security Indicators","Mozambique","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2021-2023",""
"Suite of Food Security Indicators","Mozambique","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2022-2024",""
"Suite of Food Security Indicators","Mozambique","Value","Political stability and absence of violence/terrorism (index)","2021","-1.26"
"Suite of Food Security Indicators","Mozambique","Value","Political stability and absence of violence/terrorism (index)","2022","-1.27"
"Suite of Food Security Indicators","Mozambique","Value","Number of obese adults (18 years and older) (million)","2021","1.6"
"Suite of Food Security Indicators","Mozambique","Value","Number of obese adults (18 years and older) (million)","2022","1.7"
"Suite of Food Security Indicators","Myanmar","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2021","5178"
"Suite of Food Security Indicators","Myanmar","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2022","5351"
"Suite of Food Security Indicators","Myanmar","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2023","5364"
"Suite of Food Security Indicators","Myanmar","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2024","5276"
"Suite of Food Security Indicators","Myanmar","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2020-2022","5"
"Suite of Food Security Indicators","Myanmar","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2021-2023","6.9"
"Suite of Food Security Indicators","Myanmar","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2022-2024","7.2"
"Suite of Food Security Indicators","Myanmar","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2020-2022","4.2"
"Suite of Food Security Indicators","Myanmar","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2021-2023","6.5"
"Suite of Food Security Indicators","Myanmar","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2022-2024","7.2"
"Suite of Food Security Indicators","Myanmar","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2020-2022","5.9"
"Suite of Food Security Indicators","Myanmar","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2021-2023","7.3"
"Suite of Food Security Indicators","Myanmar","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2022-2024","7.2"
"Suite of Food Security Indicators","Myanmar","Value","Political stability and absence of violence/terrorism (index)","2021","-2.08"
"Suite of Food Security Indicators","Myanmar","Value","Political stability and absence of violence/terrorism (index)","2022","-2.2"
"Suite of Food Security Indicators","Myanmar","Value","Number of obese adults (18 years and older) (million)","2021","2.7"
"Suite of Food Security Indicators","Myanmar","Value","Number of obese adults (18 years and older) (million)","2022","2.8"
"Suite of Food Security Indicators","Namibia","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2021","9709"
"Suite of Food Security Indicators","Namibia","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2022","9953"
"Suite of Food Security Indicators","Namibia","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2023","10138"
"Suite of Food Security Indicators","Namibia","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2024","10281"
"Suite of Food Security Indicators","Namibia","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2020-2022","33"
"Suite of Food Security Indicators","Namibia","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2021-2023","31.8"
"Suite of Food Security Indicators","Namibia","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2022-2024","30"
"Suite of Food Security Indicators","Namibia","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2020-2022","31.7"
"Suite of Food Security Indicators","Namibia","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2021-2023","30.4"
"Suite of Food Security Indicators","Namibia","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2022-2024","29.1"
"Suite of Food Security Indicators","Namibia","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2020-2022","34.3"
"Suite of Food Security Indicators","Namibia","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2021-2023","33.3"
"Suite of Food Security Indicators","Namibia","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2022-2024","30.9"
"Suite of Food Security Indicators","Namibia","Value","Political stability and absence of violence/terrorism (index)","2021","0.52"
"Suite of Food Security Indicators","Namibia","Value","Political stability and absence of violence/terrorism (index)","2022","0.56"
"Suite of Food Security Indicators","Namibia","Value","Number of obese adults (18 years and older) (million)","2021","0.2"
"Suite of Food Security Indicators","Namibia","Value","Number of obese adults (18 years and older) (million)","2022","0.3"
"Suite of Food Security Indicators","Nauru","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2021","12197"
"Suite of Food Security Indicators","Nauru","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2022","12459"
"Suite of Food Security Indicators","Nauru","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2023","12461"
"Suite of Food Security Indicators","Nauru","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2024","12604"
"Suite of Food Security Indicators","Nauru","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2020-2022","9.2"
"Suite of Food Security Indicators","Nauru","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2021-2023","9.2"
"Suite of Food Security Indicators","Nauru","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2022-2024",""
"Suite of Food Security Indicators","Nauru","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2020-2022","9.2"
"Suite of Food Security Indicators","Nauru","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2021-2023","9.2"
"Suite of Food Security Indicators","Nauru","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2022-2024",""
"Suite of Food Security Indicators","Nauru","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2020-2022","9.2"
"Suite of Food Security Indicators","Nauru","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2021-2023","9.2"
"Suite of Food Security Indicators","Nauru","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2022-2024",""
"Suite of Food Security Indicators","Nauru","Value","Political stability and absence of violence/terrorism (index)","2021","0.79"
"Suite of Food Security Indicators","Nauru","Value","Political stability and absence of violence/terrorism (index)","2022","0.88"
"Suite of Food Security Indicators","Nauru","Value","Number of obese adults (18 years and older) (million)","2021","<0.1"
"Suite of Food Security Indicators","Nauru","Value","Number of obese adults (18 years and older) (million)","2022","<0.1"
"Suite of Food Security Indicators","Nepal","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2021","4546"
"Suite of Food Security Indicators","Nepal","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2022","4763"
"Suite of Food Security Indicators","Nepal","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2023","4861"
"Suite of Food Security Indicators","Nepal","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2024","5047"
"Suite of Food Security Indicators","Nepal","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2020-2022","13.2"
"Suite of Food Security Indicators","Nepal","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2021-2023","13.5"
"Suite of Food Security Indicators","Nepal","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2022-2024","12.8"
"Suite of Food Security Indicators","Nepal","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2020-2022","13.8"
"Suite of Food Security Indicators","Nepal","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2021-2023","13.8"
"Suite of Food Security Indicators","Nepal","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2022-2024","12.8"
"Suite of Food Security Indicators","Nepal","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2020-2022","12.7"
"Suite of Food Security Indicators","Nepal","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2021-2023","13.3"
"Suite of Food Security Indicators","Nepal","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2022-2024","12.9"
"Suite of Food Security Indicators","Nepal","Value","Political stability and absence of violence/terrorism (index)","2021","-0.19"
"Suite of Food Security Indicators","Nepal","Value","Political stability and absence of violence/terrorism (index)","2022","-0.24"
"Suite of Food Security Indicators","Nepal","Value","Number of obese adults (18 years and older) (million)","2021","1.3"
"Suite of Food Security Indicators","Nepal","Value","Number of obese adults (18 years and older) (million)","2022","1.4"
"Suite of Food Security Indicators","Netherlands (Kingdom of the)","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2021","68574"
"Suite of Food Security Indicators","Netherlands (Kingdom of the)","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2022","71324"
"Suite of Food Security Indicators","Netherlands (Kingdom of the)","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2023","70674"
"Suite of Food Security Indicators","Netherlands (Kingdom of the)","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2024","70902"
"Suite of Food Security Indicators","Netherlands (Kingdom of the)","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2020-2022","1.4"
"Suite of Food Security Indicators","Netherlands (Kingdom of the)","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2021-2023","1.9"
"Suite of Food Security Indicators","Netherlands (Kingdom of the)","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2022-2024","2.7"
"Suite of Food Security Indicators","Netherlands (Kingdom of the)","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2020-2022","1.2"
"Suite of Food Security Indicators","Netherlands (Kingdom of the)","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2021-2023","1.6"
"Suite of Food Security Indicators","Netherlands (Kingdom of the)","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2022-2024","2.2"
