"","","","2020-2022 [20202022]","2020-2022 [20202022]","2020-2022 [20202022]","2020-2022 [20202022]","2021 [2021]","2021 [2021]","2021 [2021]","2021 [2021]","2021-2023 [20212023]","2021-2023 [20212023]","2021-2023 [20212023]","2021-2023 [20212023]","2022 [2022]","2022 [2022]","2022 [2022]","2022 [2022]","2022-2024 [20222024]","2022-2024 [20222024]","2022-2024 [20222024]","2022-2024 [20222024]","2023 [2023]","2023 [2023]","2023 [2023]","2023 [2023]","2024 [2024]","2024 [2024]","2024 [2024]","2024 [2024]"
"Mali [466]","Value [6132]","Prevalence of severe food insecurity in the male adult population (percent) (3-year average) [210401M]","%","2.7","Estimated value","Official estimate integrated with FAO data","","","","","%","2.6","Estimated value","Official estimate","","","","","%","2.6","Estimated value","Official estimate integrated with FAO data","","","","","","","",""
"Mali [466]","Value [6132]","Prevalence of severe food insecurity in the total population (percent) (3-year average) [210401]","%","2.7","Estimated value","Official estimate integrated with FAO data","","","","","%","2.7","Estimated value","Official estimate","","","","","%","2.6","Estimated value","Official estimate integrated with FAO data","","","","","","","",""
"Malta [470]","Value [6132]","Gross domestic product per capita, PPP, (constant 2021 international $) [22013]","","","","","Int$/cap","56802","Figure from external organization","","","","","","Int$/cap","57782","Figure from external organization","","","","","","Int$/cap","59293","Figure from external organization","","Int$/cap","60470","Figure from external organization",""
"Malta [470]","Value [6132]","Number of obese adults (18 years and older) (million) [210420]","","","","","million No","0.1","Figure from external organization","","","","","","million No","0.1","Figure from external organization","","","","","","","","","","","","",""
"Malta [470]","Value [6132]","Political stability and absence of violence/terrorism (index)","","","","","","0.89","Figure from external organization","","","","","","","0.91","Figure from external organization","","","","","","","","","","","","",""
"Malta [470]","Value [6132]","Prevalence of severe food insecurity in the female adult population (percent) (3-year average) [210401F]","%","2.3","Estimated value","FAO data","","","","","%","2.3","Estimated value","FAO data","","","","","%","2.2","Estimated value","FAO data","","","","","","","",""
"Malta [470]","Value [6132]","Prevalence of severe food insecurity in the male adult population (percent) (3-year average) [210401M]","%","1.5","Estimated value","FAO data","","","","","%","1.6","Estimated value","FAO data","","","","","%","2","Estimated value","FAO data","","","","","","","",""
"Malta [470]","Value [6132]","Prevalence of severe food insecurity in the total population (percent) (3-year average) [210401]","%","1.9","Estimated value","FAO data","","","","","%","2","Estimated value","FAO data","","","","","%","2.1","Estimated value","FAO data","","","","","","","",""
"Marshall Islands [584]","Value [6132]","Gross domestic product per capita, PPP, (constant 2021 international $) [22013]","","","","","Int$/cap","6706","Figure from external organization","","","","","","Int$/cap","6844","Figure from external organization","","","","","","Int$/cap","6787","Figure from external organization","","Int$/cap","7212","Figure from external organization",""
"Marshall Islands [584]","Value [6132]","Number of obese adults (18 years and older) (million) [210420]","","","","","million No","<0.1","Figure from external organization","","","","","","million No","<0.1","Figure from external organization","","","","","","","","","","","","",""
"Marshall Islands [584]","Value [6132]","Political stability and absence of violence/terrorism (index)","","","","","","0.93","Figure from external organization","","","","","","","1.02","Figure from external organization","","","","","","","","","","","","",""
"Marshall Islands [584]","Value [6132]","Prevalence of severe food insecurity in the female adult population (percent) (3-year average) [210401F]","%","","Missing value","","","","","","%","","Missing value","","","","","","%","","Missing value","","","","","","","","",""
"Marshall Islands [584]","Value [6132]","Prevalence of severe food insecurity in the male adult population (percent) (3-year average) [210401M]","%","","Missing value","","","","","","%","","Missing value","","","","","","%","","Missing value","","","","","","","","",""
"Marshall Islands [584]","Value [6132]","Prevalence of severe food insecurity in the total population (percent) (3-year average) [210401]","%","","Missing value","","","","","","%","","Missing value","","","","","","%","","Missing value","","","","","","","","",""
"Mauritania [478]","Value [6132]","Gross domestic product per capita, PPP, (constant 2021 international $) [22013]","","","","","Int$/cap","5837","Figure from external organization","","","","","","Int$/cap","6053","Figure from external organization","","","","","","Int$/cap","6259","Figure from external organization","","Int$/cap","6397","Figure from external organization",""
"Mauritania [478]","Value [6132]","Number of obese adults (18 years and older) (million) [210420]","","","","","million No","0.5","Figure from external organization","","","","","","million No","0.6","Figure from external organization","","","","","","","","","","","","",""
"Mauritania [478]","Value [6132]","Political stability and absence of violence/terrorism (index)","","","","","","-0.56","Figure from external organization","","","","","","","-0.52","Figure from external organization","","","","","","","","","","","","",""
"Mauritania [478]","Value [6132]","Prevalence of severe food insecurity in the female adult population (percent) (3-year average) [210401F]","%","9.6","Estimated value","Official estimate integrated with FAO data","","","","","%","12.3","Estimated value","Official estimate integrated with FAO data","","","","","%","14","Estimated value","Official estimate integrated with FAO data","","","","","","","",""
"Mauritania [478]","Value [6132]","Prevalence of severe food insecurity in the male adult population (percent) (3-year average) [210401M]","%","9.4","Estimated value","Official estimate integrated with FAO data","","","","","%","11","Estimated value","Official estimate integrated with FAO data","","","","","%","12.1","Estimated value","Official estimate integrated with FAO data","","","","","","","",""
"Mauritania [478]","Value [6132]","Prevalence of severe food insecurity in the total population (percent) (3-year average) [210401]","%","9.5","Estimated value","Official estimate integrated with FAO data","","","","","%","11.6","Estimated value","Official estimate integrated with FAO data","","","","","%","13.1","Estimated value","Official estimate integrated with FAO data","","","","","","","",""
"Mauritius [480]","Value [6132]","Gross domestic product per capita, PPP, (constant 2021 international $) [22013]","","","","","Int$/cap","22738","Figure from external organization","","","","","","Int$/cap","24789","Figure from external organization","","","","","","Int$/cap","26061","Figure from external organization","","Int$/cap","27317","Figure from external organization",""
"Mauritius [480]","Value [6132]","Number of obese adults (18 years and older) (million) [210420]","","","","","million No","0.2","Figure from external organization","","","","","","million No","0.2","Figure from external organization","","","","","","","","","","","","",""
"Mauritius [480]","Value [6132]","Political stability and absence of violence/terrorism (index)","","","","","","0.83","Figure from external organization","","","","","","","0.83","Figure from external organization","","","","","","","","","","","","",""
"Mauritius [480]","Value [6132]","Prevalence of severe food insecurity in the female adult population (percent) (3-year average) [210401F]","%","11.5","Estimated value","FAO data","","","","","%","9.9","Estimated value","FAO data","","","","","%","12.1","Estimated value","FAO data","","","","","","","",""
"Mauritius [480]","Value [6132]","Prevalence of severe food insecurity in the male adult population (percent) (3-year average) [210401M]","%","9.5","Estimated value","FAO data","","","","","%","10.6","Estimated value","FAO data","","","","","%","12.4","Estimated value","FAO data","","","","","","","",""
"Mauritius [480]","Value [6132]","Prevalence of severe food insecurity in the total population (percent) (3-year average) [210401]","%","10.5","Estimated value","FAO data","","","","","%","10.2","Estimated value","FAO data","","","","","%","12.2","Estimated value","FAO data","","","","","","","",""
"Mexico [484]","Value [6132]","Gross domestic product per capita, PPP, (constant 2021 international $) [22013]","","","","","Int$/cap","20783","Figure from external organization","","","","","","Int$/cap","21392","Figure from external organization","","","","","","Int$/cap","21905","Figure from external organization","","Int$/cap","22033","Figure from external organization",""
"Mexico [484]","Value [6132]","Number of obese adults (18 years and older) (million) [210420]","","","","","million No","31.3","Figure from external organization","","","","","","million No","32.3","Figure from external organization","","","","","","","","","","","","",""
"Mexico [484]","Value [6132]","Political stability and absence of violence/terrorism (index)","","","","","","-0.69","Figure from external organization","","","","","","","-0.69","Figure from external organization","","","","","","","","","","","","",""
"Mexico [484]","Value [6132]","Prevalence of severe food insecurity in the female adult population (percent) (3-year average) [210401F]","%","3.9","Estimated value","Official estimate integrated with FAO data","","","","","%","3.6","Estimated value","Official estimate integrated with FAO data","","","","","%","3.4","Estimated value","Official estimate","","","","","","","",""
"Mexico [484]","Value [6132]","Prevalence of severe food insecurity in the male adult population (percent) (3-year average) [210401M]","%","2.5","Estimated value","Official estimate integrated with FAO data","","","","","%","2.4","Estimated value","Official estimate integrated with FAO data","","","","","%","2.4","Estimated value","Official estimate","","","","","","","",""
"Mexico [484]","Value [6132]","Prevalence of severe food insecurity in the total population (percent) (3-year average) [210401]","%","3.2","Official figure","Official estimate integrated with FAO data","","","","","%","3","Estimated value","Official estimate integrated with FAO data","","","","","%","2.9","Estimated value","Official estimate","","","","","","","",""
"Micronesia (Federated States of) [583]","Value [6132]","Gross domestic product per capita, PPP, (constant 2021 international $) [22013]","","","","","Int$/cap","3945","Figure from external organization","","","","","","Int$/cap","3813","Figure from external organization","","","","","","Int$/cap","3814","Figure from external organization","","Int$/cap","3824","Figure from external organization",""
"Micronesia (Federated States of) [583]","Value [6132]","Number of obese adults (18 years and older) (million) [210420]","","","","","million No","<0.1","Figure from external organization","","","","","","million No","<0.1","Figure from external organization","","","","","","","","","","","","",""
"Micronesia (Federated States of) [583]","Value [6132]","Political stability and absence of violence/terrorism (index)","","","","","","1.2","Figure from external organization","","","","","","","1.21","Figure from external organization","","","","","","","","","","","","",""
"Micronesia (Federated States of) [583]","Value [6132]","Prevalence of severe food insecurity in the female adult population (percent) (3-year average) [210401F]","%","","Missing value","","","","","","%","","Missing value","","","","","","%","","Missing value","","","","","","","","",""
"Micronesia (Federated States of) [583]","Value [6132]","Prevalence of severe food insecurity in the male adult population (percent) (3-year average) [210401M]","%","","Missing value","","","","","","%","","Missing value","","","","","","%","","Missing value","","","","","","","","",""
"Micronesia (Federated States of) [583]","Value [6132]","Prevalence of severe food insecurity in the total population (percent) (3-year average) [210401]","%","","Missing value","","","","","","%","","Missing value","","","","","","%","","Missing value","","","","","","","","",""
"Mongolia [496]","Value [6132]","Gross domestic product per capita, PPP, (constant 2021 international $) [22013]","","","","","Int$/cap","14792","Figure from external organization","","","","","","Int$/cap","15310","Figure from external organization","","","","","","Int$/cap","16223","Figure from external organization","","Int$/cap","16801","Figure from external organization",""
"Mongolia [496]","Value [6132]","Number of obese adults (18 years and older) (million) [210420]","","","","","million No","0.5","Figure from external organization","","","","","","million No","0.5","Figure from external organization","","","","","","","","","","","","",""
"Mongolia [496]","Value [6132]","Political stability and absence of violence/terrorism (index)","","","","","","0.71","Figure from external organization","","","","","","","0.53","Figure from external organization","","","","","","","","","","","","",""
"Mongolia [496]","Value [6132]","Prevalence of severe food insecurity in the female adult population (percent) (3-year average) [210401F]","%","<0.5","Estimated value","Official estimate integrated with FAO data","","","","","%","0.7","Estimated value","Official estimate integrated with FAO data","","","","","%","0.7","Estimated value","Official estimate","","","","","","","",""
"Mongolia [496]","Value [6132]","Prevalence of severe food insecurity in the male adult population (percent) (3-year average) [210401M]","%","0.5","Estimated value","Official estimate integrated with FAO data","","","","","%","0.6","Estimated value","Official estimate integrated with FAO data","","","","","%","0.7","Estimated value","Official estimate","","","","","","","",""
"Mongolia [496]","Value [6132]","Prevalence of severe food insecurity in the total population (percent) (3-year average) [210401]","%","<0.5","Official figure","Official estimate integrated with FAO data","","","","","%","0.6","Estimated value","Official estimate integrated with FAO data","","","","","%","0.7","Estimated value","Official estimate","","","","","","","",""
"Montenegro [499]","Value [6132]","Gross domestic product per capita, PPP, (constant 2021 international $) [22013]","","","","","Int$/cap","23842","Figure from external organization","","","","","","Int$/cap","25429","Figure from external organization","","","","","","Int$/cap","27043","Figure from external organization","","Int$/cap","27852","Figure from external organization",""
"Montenegro [499]","Value [6132]","Number of obese adults (18 years and older) (million) [210420]","","","","","million No","0.1","Figure from external organization","","","","","","million No","0.1","Figure from external organization","","","","","","","","","","","","",""
"Montenegro [499]","Value [6132]","Political stability and absence of violence/terrorism (index)","","","","","","-0.05","Figure from external organization","","","","","","","-0.14","Figure from external organization","","","","","","","","","","","","",""
"Montenegro [499]","Value [6132]","Prevalence of severe food insecurity in the female adult population (percent) (3-year average) [210401F]","%","2.8","Estimated value","FAO data","","","","","%","2.4","Estimated value","FAO data","","","","","%","1.9","Estimated value","FAO data","","","","","","","",""
"Montenegro [499]","Value [6132]","Prevalence of severe food insecurity in the male adult population (percent) (3-year average) [210401M]","%","3.8","Estimated value","FAO data","","","","","%","2.6","Estimated value","FAO data","","","","","%","1.3","Estimated value","FAO data","","","","","","","",""
"Montenegro [499]","Value [6132]","Prevalence of severe food insecurity in the total population (percent) (3-year average) [210401]","%","3.3","Estimated value","FAO data","","","","","%","2.5","Estimated value","FAO data","","","","","%","1.6","Estimated value","FAO data","","","","","","","",""
"Morocco [504]","Value [6132]","Gross domestic product per capita, PPP, (constant 2021 international $) [22013]","","","","","Int$/cap","8623","Figure from external organization","","","","","","Int$/cap","8666","Figure from external organization","","","","","","Int$/cap","8869","Figure from external organization","","Int$/cap","9066","Figure from external organization",""
"Morocco [504]","Value [6132]","Number of obese adults (18 years and older) (million) [210420]","","","","","million No","5.4","Figure from external organization","","","","","","million No","5.6","Figure from external organization","","","","","","","","","","","","",""
"Morocco [504]","Value [6132]","Political stability and absence of violence/terrorism (index)","","","","","","-0.4","Figure from external organization","","","","","","","-0.36","Figure from external organization","","","","","","","","","","","","",""
"Morocco [504]","Value [6132]","Prevalence of severe food insecurity in the female adult population (percent) (3-year average) [210401F]","%","","Missing value","","","","","","%","","Missing value","","","","","","%","","Missing value","","","","","","","","",""
"Morocco [504]","Value [6132]","Prevalence of severe food insecurity in the male adult population (percent) (3-year average) [210401M]","%","","Missing value","","","","","","%","","Missing value","","","","","","%","","Missing value","","","","","","","","",""
"Morocco [504]","Value [6132]","Prevalence of severe food insecurity in the total population (percent) (3-year average) [210401]","%","","Missing value","","","","","","%","","Missing value","","","","","","%","","Missing value","","","","","","","","",""
"Mozambique [508]","Value [6132]","Gross domestic product per capita, PPP, (constant 2021 international $) [22013]","","","","","Int$/cap","1457","Figure from external organization","","","","","","Int$/cap","1477","Figure from external organization","","","","","","Int$/cap","1512","Figure from external organization","","Int$/cap","1495","Figure from external organization",""
"Mozambique [508]","Value [6132]","Number of obese adults (18 years and older) (million) [210420]","","","","","million No","1.6","Figure from external organization","","","","","","million No","1.7","Figure from external organization","","","","","","","","","","","","",""
"Mozambique [508]","Value [6132]","Political stability and absence of violence/terrorism (index)","","","","","","-1.26","Figure from external organization","","","","","","","-1.27","Figure from external organization","","","","","","","","","","","","",""
"Mozambique [508]","Value [6132]","Prevalence of severe food insecurity in the female adult population (percent) (3-year average) [210401F]","%","","Missing value; suppressed","","","","","","%","","Missing value; suppressed","","","","","","%","","Missing value; suppressed","","","","","","","","",""
"Mozambique [508]","Value [6132]","Prevalence of severe food insecurity in the male adult population (percent) (3-year average) [210401M]","%","","Missing value; suppressed","","","","","","%","","Missing value; suppressed","","","","","","%","","Missing value; suppressed","","","","","","","","",""
"Mozambique [508]","Value [6132]","Prevalence of severe food insecurity in the total population (percent) (3-year average) [210401]","%","","Missing value; suppressed","","","","","","%","","Missing value; suppressed","","","","","","%","","Missing value; suppressed","","","","","","","","",""
"Myanmar [104]","Value [6132]","Gross domestic product per capita, PPP, (constant 2021 international $) [22013]","","","","","Int$/cap","5178","Figure from external organization","","","","","","Int$/cap","5351","Figure from external organization","","","","","","Int$/cap","5364","Figure from external organization","","Int$/cap","5276","Figure from external organization",""
"Myanmar [104]","Value [6132]","Number of obese adults (18 years and older) (million) [210420]","","","","","million No","2.7","Figure from external organization","","","","","","million No","2.8","Figure from external organization","","","","","","","","","","","","",""
"Myanmar [104]","Value [6132]","Political stability and absence of violence/terrorism (index)","","","","","","-2.08","Figure from external organization","","","","","","","-2.2","Figure from external organization","","","","","","","","","","","","",""
"Myanmar [104]","Value [6132]","Prevalence of severe food insecurity in the female adult population (percent) (3-year average) [210401F]","%","5.9","Estimated value","FAO data","","","","","%","7.3","Estimated value","FAO data","","","","","%","7.2","Estimated value","FAO data","","","","","","","",""
"Myanmar [104]","Value [6132]","Prevalence of severe food insecurity in the male adult population (percent) (3-year average) [210401M]","%","4.2","Estimated value","FAO data","","","","","%","6.5","Estimated value","FAO data","","","","","%","7.2","Estimated value","FAO data","","","","","","","",""
"Myanmar [104]","Value [6132]","Prevalence of severe food insecurity in the total population (percent) (3-year average) [210401]","%","5","Estimated value","FAO data","","","","","%","6.9","Estimated value","FAO data","","","","","%","7.2","Estimated value","FAO data","","","","","","","",""
"Namibia [516]","Value [6132]","Gross domestic product per capita, PPP, (constant 2021 international $) [22013]","","","","","Int$/cap","9709","Figure from external organization","","","","","","Int$/cap","9953","Figure from external organization","","","","","","Int$/cap","10138","Figure from external organization","","Int$/cap","10281","Figure from external organization",""
"Namibia [516]","Value [6132]","Number of obese adults (18 years and older) (million) [210420]","","","","","million No","0.2","Figure from external organization","","","","","","million No","0.3","Figure from external organization","","","","","","","","","","","","",""
"Namibia [516]","Value [6132]","Political stability and absence of violence/terrorism (index)","","","","","","0.52","Figure from external organization","","","","","","","0.56","Figure from external organization","","","","","","","","","","","","",""
"Namibia [516]","Value [6132]","Prevalence of severe food insecurity in the female adult population (percent) (3-year average) [210401F]","%","34.3","Estimated value","Official estimate integrated with FAO data","","","","","%","33.3","Estimated value","Official estimate integrated with FAO data","","","","","%","30.9","Estimated value","Official estimate integrated with FAO data","","","","","","","",""
"Namibia [516]","Value [6132]","Prevalence of severe food insecurity in the male adult population (percent) (3-year average) [210401M]","%","31.7","Estimated value","Official estimate integrated with FAO data","","","","","%","30.4","Estimated value","Official estimate integrated with FAO data","","","","","%","29.1","Estimated value","Official estimate integrated with FAO data","","","","","","","",""
"Namibia [516]","Value [6132]","Prevalence of severe food insecurity in the total population (percent) (3-year average) [210401]","%","33","Estimated value","Official estimate integrated with FAO data","","","","","%","31.8","Estimated value","Official estimate integrated with FAO data","","","","","%","30","Estimated value","Official estimate integrated with FAO data","","","","","","","",""
"Nauru [520]","Value [6132]","Gross domestic product per capita, PPP, (constant 2021 international $) [22013]","","","","","Int$/cap","12197","Figure from external organization","","","","","","Int$/cap","12459","Figure from external organization","","","","","","Int$/cap","12461","Figure from external organization","","Int$/cap","12604","Figure from external organization",""
"Nauru [520]","Value [6132]","Number of obese adults (18 years and older) (million) [210420]","","","","","million No","<0.1","Figure from external organization","","","","","","million No","<0.1","Figure from external organization","","","","","","","","","","","","",""
"Nauru [520]","Value [6132]","Political stability and absence of violence/terrorism (index)","","","","","","0.79","Figure from external organization","","","","","","","0.88","Figure from external organization","","","","","","","","","","","","",""
"Nauru [520]","Value [6132]","Prevalence of severe food insecurity in the female adult population (percent) (3-year average) [210401F]","%","9.2","Estimated value","Official estimate","","","","","%","9.2","Estimated value","Official estimate","","","","","%","","Missing value","","","","","","","","",""
"Nauru [520]","Value [6132]","Prevalence of severe food insecurity in the male adult population (percent) (3-year average) [210401M]","%","9.2","Estimated value","Official estimate","","","","","%","9.2","Estimated value","Official estimate","","","","","%","","Missing value","","","","","","","","",""
"Nauru [520]","Value [6132]","Prevalence of severe food insecurity in the total population (percent) (3-year average) [210401]","%","9.2","Estimated value","Official estimate","","","","","%","9.2","Estimated value","Official estimate","","","","","%","","Missing value","","","","","","","","",""
"Nepal [524]","Value [6132]","Gross domestic product per capita, PPP, (constant 2021 international $) [22013]","","","","","Int$/cap","4546","Figure from external organization","","","","","","Int$/cap","4763","Figure from external organization","","","","","","Int$/cap","4861","Figure from external organization","","Int$/cap","5047","Figure from external organization",""
"Nepal [524]","Value [6132]","Number of obese adults (18 years and older) (million) [210420]","","","","","million No","1.3","Figure from external organization","","","","","","million No","1.4","Figure from external organization","","","","","","","","","","","","",""
"Nepal [524]","Value [6132]","Political stability and absence of violence/terrorism (index)","","","","","","-0.19","Figure from external organization","","","","","","","-0.24","Figure from external organization","","","","","","","","","","","","",""
"Nepal [524]","Value [6132]","Prevalence of severe food insecurity in the female adult population (percent) (3-year average) [210401F]","%","12.7","Estimated value","FAO data","","","","","%","13.3","Estimated value","FAO data","","","","","%","12.9","Estimated value","FAO data","","","","","","","",""
"Nepal [524]","Value [6132]","Prevalence of severe food insecurity in the male adult population (percent) (3-year average) [210401M]","%","13.8","Estimated value","FAO data","","","","","%","13.8","Estimated value","FAO data","","","","","%","12.8","Estimated value","FAO data","","","","","","","",""
"Nepal [524]","Value [6132]","Prevalence of severe food insecurity in the total population (percent) (3-year average) [210401]","%","13.2","Estimated value","FAO data","","","","","%","13.5","Estimated value","FAO data","","","","","%","12.8","Estimated value","FAO data","","","","","","","",""
"Netherlands (Kingdom of the) [528]","Value [6132]","Gross domestic product per capita, PPP, (constant 2021 international $) [22013]","","","","","Int$/cap","68574","Figure from external organization","","","","","","Int$/cap","71324","Figure from external organization","","","","","","Int$/cap","70674","Figure from external organization","","Int$/cap","70902","Figure from external organization",""
"Netherlands (Kingdom of the) [528]","Value [6132]","Number of obese adults (18 years and older) (million) [210420]","","","","","million No","2","Figure from external organization","","","","","","million No","2.1","Figure from external organization","","","","","","","","","","","","",""
"Netherlands (Kingdom of the) [528]","Value [6132]","Political stability and absence of violence/terrorism (index)","","","","","","0.89","Figure from external organization","","","","","","","0.73","Figure from external organization","","","","","","","","","","","","",""
"Netherlands (Kingdom of the) [528]","Value [6132]","Prevalence of severe food insecurity in the female adult population (percent) (3-year average) [210401F]","%","1.6","Estimated value","FAO data","","","","","%","2.2","Estimated value","FAO data","","","","","%","3.2","Estimated value","FAO data","","","","","","","",""
"Netherlands (Kingdom of the) [528]","Value [6132]","Prevalence of severe food insecurity in the male adult population (percent) (3-year average) [210401M]","%","1.2","Estimated value","FAO data","","","","","%","1.6","Estimated value","FAO data","","","","","%","2.2","Estimated value","FAO data","","","","","","","",""
"Netherlands (Kingdom of the) [528]","Value [6132]","Prevalence of severe food insecurity in the total population (percent) (3-year average) [210401]","%","1.4","Estimated value","FAO data","","","","","%","1.9","Estimated value","FAO data","","","","","%","2.7","Estimated value","FAO data","","","","","","","",""
"New Caledonia [540]","Value [6132]","Gross domestic product per capita, PPP, (constant 2021 international $) [22013]","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"New Caledonia [540]","Value [6132]","Number of obese adults (18 years and older) (million) [210420]","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"New Caledonia [540]","Value [6132]","Political stability and absence of violence/terrorism (index)","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"New Caledonia [540]","Value [6132]","Prevalence of severe food insecurity in the female adult population (percent) (3-year average) [210401F]","%","","Missing value","","","","","","%","","Missing value","","","","","","%","","Missing value","","","","","","","","",""
"New Caledonia [540]","Value [6132]","Prevalence of severe food insecurity in the male adult population (percent) (3-year average) [210401M]","%","","Missing value","","","","","","%","","Missing value","","","","","","%","","Missing value","","","","","","","","",""
"New Caledonia [540]","Value [6132]","Prevalence of severe food insecurity in the total population (percent) (3-year average) [210401]","%","","Missing value","","","","","","%","","Missing value","","","","","","%","","Missing value","","","","","","","","",""
"New Zealand [554]","Value [6132]","Gross domestic product per capita, PPP, (constant 2021 international $) [22013]","","","","","Int$/cap","47997","Figure from external organization","","","","","","Int$/cap","49619","Figure from external organization","","","","","","Int$/cap","49084","Figure from external organization","","Int$/cap","48163","Figure from external organization",""
"New Zealand [554]","Value [6132]","Number of obese adults (18 years and older) (million) [210420]","","","","","million No","1.3","Figure from external organization","","","","","","million No","1.4","Figure from external organization","","","","","","","","","","","","",""
"New Zealand [554]","Value [6132]","Political stability and absence of violence/terrorism (index)","","","","","","1.39","Figure from external organization","","","","","","","1.32","Figure from external organization","","","","","","","","","","","","",""
"New Zealand [554]","Value [6132]","Prevalence of severe food insecurity in the female adult population (percent) (3-year average) [210401F]","%","2.7","Estimated value","FAO data","","","","","%","3.2","Estimated value","FAO data","","","","","%","4","Estimated value","FAO data","","","","","","","",""
"New Zealand [554]","Value [6132]","Prevalence of severe food insecurity in the male adult population (percent) (3-year average) [210401M]","%","4","Estimated value","FAO data","","","","","%","4.3","Estimated value","FAO data","","","","","%","4.6","Estimated value","FAO data","","","","","","","",""
"New Zealand [554]","Value [6132]","Prevalence of severe food insecurity in the total population (percent) (3-year average) [210401]","%","3.3","Estimated value","FAO data","","","","","%","3.8","Estimated value","FAO data","","","","","%","4.3","Estimated value","FAO data","","","","","","","",""
"Nicaragua [558]","Value [6132]","Gross domestic product per capita, PPP, (constant 2021 international $) [22013]","","","","","Int$/cap","7119","Figure from external organization","","","","","","Int$/cap","7278","Figure from external organization","","","","","","Int$/cap","7497","Figure from external organization","","","","",""
"Nicaragua [558]","Value [6132]","Number of obese adults (18 years and older) (million) [210420]","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Nicaragua [558]","Value [6132]","Political stability and absence of violence/terrorism (index)","","","","","","-0.47","Figure from external organization","","","","","","","-0.36","Figure from external organization","","","","","","","","","","","","",""
"Nicaragua [558]","Value [6132]","Prevalence of severe food insecurity in the female adult population (percent) (3-year average) [210401F]","%","","Missing value; suppressed","","","","","","%","","Missing value; suppressed","","","","","","%","","Missing value; suppressed","","","","","","","","",""
"Nicaragua [558]","Value [6132]","Prevalence of severe food insecurity in the male adult population (percent) (3-year average) [210401M]","%","","Missing value; suppressed","","","","","","%","","Missing value; suppressed","","","","","","%","","Missing value; suppressed","","","","","","","","",""
"Nicaragua [558]","Value [6132]","Prevalence of severe food insecurity in the total population (percent) (3-year average) [210401]","%","","Missing value; suppressed","","","","","","%","","Missing value; suppressed","","","","","","%","","Missing value; suppressed","","","","","","","","",""
"Niger [562]","Value [6132]","Gross domestic product per capita, PPP, (constant 2021 international $) [22013]","","","","","Int$/cap","1586","Figure from external organization","","","","","","Int$/cap","1718","Figure from external organization","","","","","","Int$/cap","1690","Figure from external organization","","Int$/cap","1773","Figure from external organization",""
"Niger [562]","Value [6132]","Number of obese adults (18 years and older) (million) [210420]","","","","","million No","0.6","Figure from external organization","","","","","","million No","0.7","Figure from external organization","","","","","","","","","","","","",""
"Niger [562]","Value [6132]","Political stability and absence of violence/terrorism (index)","","","","","","-1.54","Figure from external organization","","","","","","","-1.46","Figure from external organization","","","","","","","","","","","","",""
"Niger [562]","Value [6132]","Prevalence of severe food insecurity in the female adult population (percent) (3-year average) [210401F]","%","8","Estimated value","Official estimate integrated with FAO data","","","","","%","7.6","Estimated value","Official estimate","","","","","%","7.6","Estimated value","Official estimate integrated with FAO data","","","","","","","",""
"Niger [562]","Value [6132]","Prevalence of severe food insecurity in the male adult population (percent) (3-year average) [210401M]","%","7.5","Estimated value","Official estimate integrated with FAO data","","","","","%","7.3","Estimated value","Official estimate","","","","","%","7.6","Estimated value","Official estimate integrated with FAO data","","","","","","","",""
"Niger [562]","Value [6132]","Prevalence of severe food insecurity in the total population (percent) (3-year average) [210401]","%","7.7","Estimated value","Official estimate integrated with FAO data","","","","","%","7.5","Estimated value","Official estimate","","","","","%","7.6","Estimated value","Official estimate integrated with FAO data","","","","","","","",""
"Nigeria [566]","Value [6132]","Gross domestic product per capita, PPP, (constant 2021 international $) [22013]","","","","","Int$/cap","5492","Figure from external organization","","","","","","Int$/cap","5553","Figure from external organization","","","","","","Int$/cap","5593","Figure from external organization","","Int$/cap","5666","Figure from external organization",""
"Nigeria [566]","Value [6132]","Number of obese adults (18 years and older) (million) [210420]","","","","","million No","12.8","Figure from external organization","","","","","","million No","13.6","Figure from external organization","","","","","","","","","","","","",""
"Nigeria [566]","Value [6132]","Political stability and absence of violence/terrorism (index)","","","","","","-1.79","Figure from external organization","","","","","","","-1.78","Figure from external organization","","","","","","","","","","","","",""
"Nigeria [566]","Value [6132]","Prevalence of severe food insecurity in the female adult population (percent) (3-year average) [210401F]","%","21.5","Estimated value","Official estimate integrated with FAO data","","","","","%","22.6","Estimated value","Official estimate integrated with FAO data","","","","","%","24.4","Estimated value","Official estimate integrated with FAO data","","","","","","","",""
"Nigeria [566]","Value [6132]","Prevalence of severe food insecurity in the male adult population (percent) (3-year average) [210401M]","%","21","Estimated value","Official estimate integrated with FAO data","","","","","%","22.6","Estimated value","Official estimate integrated with FAO data","","","","","%","24.2","Estimated value","Official estimate integrated with FAO data","","","","","","","",""
"Nigeria [566]","Value [6132]","Prevalence of severe food insecurity in the total population (percent) (3-year average) [210401]","%","21.3","Estimated value","Official estimate integrated with FAO data","","","","","%","22.6","Estimated value","Official estimate integrated with FAO data","","","","","%","24.3","Estimated value","Official estimate integrated with FAO data","","","","","","","",""
"Niue [570]","Value [6132]","Gross domestic product per capita, PPP, (constant 2021 international $) [22013]","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
